Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1041352237||1041352237|0|0
|1|10035918|0|0|3/31/2023|1041178384||1041178384|0|0
|1|10035918|0|0|3/31/2023|1041028720||1041028720|0|0
|1|10035918|0|0|3/31/2023|1040880635||1040880635|0|0
|1|10035918|0|0|3/31/2023|1041041297||1041041297|0|0
|1|10035918|0|0|3/31/2023|1040303803||1040303803|0|0
|1|10035918|0|0|3/31/2023|1041317224||1041317224|0|0
|1|10035918|0|0|3/31/2023|1040910880||1040910880|0|0
|1|10035918|0|0|3/31/2023|1040575473||1040575473|0|0
|1|10035918|0|0|3/31/2023|1040585602||1040585602|0|0
|1|10035918|0|0|3/31/2023|1040668433||1040668433|0|0
|1|10035918|0|0|3/31/2023|1040705068||1040705068|0|0
|1|10035918|0|0|3/31/2023|1040950447||1040950447|0|0
|1|10035918|0|0|3/31/2023|1040987103||1040987103|0|0
|1|10035918|0|0|3/31/2023|1040431305||1040431305|0|0
|1|10035918|0|0|3/31/2023|1040552780||1040552780|0|0
|1|10035918|0|0|3/31/2023|1040713487||1040713487|0|0
|1|10035918|0|0|3/31/2023|1040787189||1040787189|0|0
|1|10035918|0|0|3/31/2023|1041054928||1041054928|0|0
|1|10035918|0|0|3/31/2023|1041192292||1041192292|0|0
|1|10035918|0|0|3/31/2023|1041360872||1041360872|0|0
|1|10035918|0|0|3/31/2023|1041437430|Short|1041437430|0|0
|1|10035918|0|0|3/31/2023|1040358986||1040358986|0|0
|1|10035918|0|0|3/31/2023|1040660812||1040660812|0|0
|1|10035918|0|0|3/31/2023|1040828591||1040828591|0|0
|1|10035918|0|0|3/31/2023|1041004488||1041004488|0|0
|1|10035918|0|0|3/31/2023|1041140917||1041140917|0|0
|1|10035918|0|0|3/31/2023|1041288996||1041288996|0|0
|1|10035918|0|0|3/31/2023|1041397932||1041397932|0|0
|1|10035918|0|0|3/31/2023|1041837362||1041837362|0|0
|1|10035918|0|0|3/31/2023|1040575674||1040575674|0|-47613.7139
|1|10035918|0|0|3/31/2023|1040575673||1040575673|0|0
|1|10035918|0|0|3/31/2023|1040617549||1040617549|0|0
|1|10035918|0|0|3/31/2023|1038641810||1038641810|0|-72839.1062
|1|10035918|0|0|3/31/2023|1040668381||1040668381|0|0
|1|10035918|0|0|3/31/2023|1040585341||1040585341|0|0
|1|10035918|0|0|3/31/2023|1040787293||1040787293|0|0
|1|10035918|0|0|3/31/2023|1040681381||1040681381|0|0
|1|10035918|0|0|3/31/2023|1041192249||1041192249|0|0
|1|10035918|0|0|3/31/2023|1040575647||1040575647|0|0
|1|10035918|0|0|3/31/2023|1040713011||1040713011|0|0
|1|10035918|0|0|3/31/2023|1040705214||1040705214|0|0
|1|10035918|0|0|3/31/2023|1040660813||1040660813|0|0
|1|10035918|0|0|3/31/2023|1040754491||1040754491|0|0
|1|10035918|0|0|3/31/2023|1040644419||1040644419|0|0
|1|10035918|0|0|3/31/2023|1040692322||1040692322|0|0
|1|10035918|0|0|3/31/2023|1040741590||1040741590|0|0
|1|10035918|0|0|3/31/2023|1041230942||1041230942|0|0
|1|10035918|0|0|3/31/2023|1040431306||1040431306|0|0
|1|10035918|0|0|3/31/2023|1040880670||1040880670|0|0
|1|10035918|0|0|3/31/2023|1040303838||1040303838|0|0
|1|10035918|0|0|3/31/2023|1041360878||1041360878|0|0
|1|10035918|0|0|3/31/2023|1040644402||1040644402|0|0
|1|10035918|0|0|3/31/2023|1041067097||1041067097|0|0
|1|10035918|0|0|3/31/2023|1040359021||1040359021|0|0
|1|10035918|0|0|3/31/2023|1040366675||1040366675|0|0
|1|10035918|0|0|3/31/2023|1040705103||1040705103|0|0
|1|10035918|0|0|3/31/2023|1041382264||1041382264|0|0
|1|10035918|0|0|3/31/2023|1040741521||1040741521|0|0
|1|10035918|0|0|3/31/2023|1040397957||1040397957|0|0
|1|10035918|0|0|3/31/2023|1040928367||1040928367|0|0
|1|10035918|0|0|3/31/2023|1040506409||1040506409|0|0
